country,inspections,facilities inspected,inspections/facility (avg)
USA,1144,714,1.602240896
IND,1018,568,1.792253521
CHN,326,202,1.613861386
ITA,154,97,1.587628866
DEU,146,94,1.553191489
CAN,116,68,1.705882353
ESP,92,65,1.415384615
FRA,64,41,1.56097561
GBR,54,32,1.6875
TWN,48,29,1.655172414
CHE,41,29,1.413793103
ISR,33,25,1.32
JPN,32,17,1.882352941
IRL,29,16,1.8125
AUT,25,16,1.5625
CZE,19,13,1.461538462
NLD,19,11,1.727272727
MEX,19,10,1.9
HUN,19,10,1.9
ROU,19,9,2.111111111
SVN,17,9,1.888888889
BGD,16,7,2.285714286
DNK,14,7,2
BRA,13,7,1.857142857
ZAF,13,7,1.857142857
NOR,13,7,1.857142857
ARG,11,6,1.833333333
MYS,11,6,1.833333333
JOR,11,6,1.833333333
AUS,11,6,1.833333333
MLT,10,5,2
BEL,10,5,2
FIN,9,5,1.8
PRT,8,5,1.6
KOR,8,5,1.6
GRC,7,5,1.4
TUR,7,4,1.75
HRV,7,4,1.75
SWE,6,4,1.5
NZL,6,2,3
POL,4,2,2
COL,3,2,1.5
LVA,3,2,1.5
BGR,3,1,3
SGP,3,1,3
SAU,3,1,3
MAC,2,1,2
ARE,2,1,2
THA,2,1,2
SVK,2,1,2
MDA,1,1,1
HKG,1,1,1
DOM,1,1,1